time_start,time_end,time_center,duration,total_counts,amplitude,amplitude_err_low,amplitude_err_high,epeak,epeak_err_low,epeak_err_high,alpha,alpha_err_low,alpha_err_high,beta,beta_err_low,beta_err_high,pgstat,dof,reduced_pgstat,fit_message,successful_fit
1,2,1.5,2,0,0.08743388380729171,0.0029821021649189955,0.003027118005313842,284.87581956340745,10.742306957423352,11.070226475446304,-0.3513585264638248,0.055013574530270226,0.05796745748993298,-2.030153214812184,0.1623370030877589,1.830153214812184,256.51144581782813,480,0.5343988454538086,Max. number of function evaluations reached,True
3,4,3.5,2,0,0.33734474126641084,0.0056990302673461946,0.004136034637159058,356.06467245532724,7.393506002364234,5.208365824626242,-0.46017258494809354,0.03049971168272192,0.015292115781500304,-2.741497781269469,0.08330924156701558,2.541497781269469,351.18519028619505,480,0.7316358130962397,Linear search failed,True
5,6,5.5,2,0,0.24307284861867942,0.0039042491338195373,0.0039245282979279705,363.50245875689075,9.047169378188357,9.235123892673414,-0.6856031041759678,0.021372393487840036,0.021731672763371734,-2.293167199665441,0.13579133272057797,2.093167199665441,340.79780282740273,480,0.709995422557089,Converged (|f_n-f_(n-1)| ~= 0),True
7,8,7.5,2,0,0.2057995587383405,0.0035981608359186845,0.0036229304633638437,383.62542661685,10.359096054124677,10.62743144747543,-0.705102537239128,0.023369404103945612,0.023778993344646837,-3.2015575670992966,6.798442432900703,3.0015575670992964,295.24755873753384,480,0.6150990807031955,Converged (|f_n-f_(n-1)| ~= 0),True
9,10,9.5,2,0,0.2526426224327182,0.0039973173557859565,0.004032971335815261,307.2034765853789,8.136775581745894,8.371023852714131,-0.8433952010421013,0.017913577263851566,0.01811649285356265,-9.148956976689236,0.8510430233107638,8.948956976689237,357.47926398479365,480,0.7447484666349867,Converged (|f_n-f_(n-1)| ~= 0),True
11,12,11.5,2,0,0.30552873425042626,0.004957831868790119,0.005021592041982825,219.16198607537666,4.956247240388649,5.102256995651686,-0.7382949577090017,0.016881550327206063,0.017055428004938977,-2.7128044496018737,0.34584127037547585,2.5128044496018735,306.69513757406224,480,0.6389482032792964,Max. number of function evaluations reached,True
13,14,13.5,2,0,0.09525770593437863,0.0028630264821750684,0.002899345582242946,196.7348573727872,10.218655492916014,10.875617729179282,-0.9791242912881017,0.02754170252765853,0.028154039838546918,-10.0,0.0,9.8,274.05321465381553,480,0.570944197195449,Linear search failed,True
15,16,15.5,2,0,0.07279377232988203,0.00295403718484627,0.003003865416473836,146.32539062658407,8.91051067807416,9.417128481931883,-0.9495538740131728,0.03347938727866606,0.03408632017688473,-4.897225381363267,5.102774618636733,4.697225381363267,238.62431448332288,480,0.49713398850692264,Max. number of function evaluations reached,True
17,18,17.5,2,0,0.008903882340431941,0.0007938703122072309,0.0008089825228199,501.81501969964216,352.8077982231814,inf,-1.7395521306113828,0.06627512412483116,0.07255251804757612,-2.4896605288584803,7.51033947114152,2.28966052885848,275.153383334842,480,0.5732362152809208,Linear search failed,True
19,20,19.5,2,0,0.004492812900655698,0.0007219055964583581,0.0007371911718608674,622.9172978571261,519.5683063943152,inf,-1.7379030314535164,0.11550989294972913,0.1393166061560951,-3.277487883000819,6.722512116999181,3.0774878830008188,249.8780736662577,480,0.5205793201380369,Linear search failed,True
